Event.Nr CDA.nSCR CDA.Latency CDA.AmpSum CDA.SCR CDA.ISCR CDA.PhasicMax CDA.Tonic TTP.nSCR TTP.Latency TTP.AmpSum Global.Mean Global.MaxDeflection Event.Name EmoId ExpId VideoId ParticipantId OverUnder Participant Sex Age Language RepId
96 1 3.375 0.0501 0.0081 0.3882 0.2369 2.31 1 2.313 0.0312 2.3696 0.0256 22 anger Ov2 1344 001m24ee o 1 m 24 ee 2
97 0 NA 0 0 0 0.5416 2.3433 0 NA 0 2.4158 0.0245 25 neutral Ov2 1344 001m24ee o 1 m 24 ee 2
98 0 NA 0 0 6e-4 0.0355 2.3599 0 NA 0 2.3723 0 26 disgust Ov2 1344 001m24ee o 1 m 24 ee 2
99 1 2.625 0.0268 0.0031 0.1483 0.1822 2.3206 1 2.25 0.0229 2.3283 0.0235 15 anger Ov1 1344 001m24ee o 1 m 24 ee 3
100 2 1.25 0.1306 0.0122 0.5879 0.5526 2.3283 1 2.813 0.0949 2.457 0.0538 21 surprise Ov1 1344 001m24ee o 1 m 24 ee 3
101 2 1.25 0.1439 0.0171 0.8224 0.6337 2.395 0 NA 0 2.5657 0.0984 20 fear Ov1 1344 001m24ee o 1 m 24 ee 3
102 0 NA 0 0 0 0.1137 2.4381 0 NA 0 2.4942 0 16 happy Ov1 1344 001m24ee o 1 m 24 ee 3
103 1 3.437 0.0281 0.0025 0.121 0.1191 2.4535 1 2.625 0.0331 2.4558 0.013 17 sad Ov1 1344 001m24ee o 1 m 24 ee 3
104 0 NA 0 0.0017 0.0838 0.1081 2.4386 0 NA 0 2.4414 0.0095 19 disgust Ov1 1344 001m24ee o 1 m 24 ee 3
105 2 3.25 0.0242 0.0026 0.1264 0.1029 2.431 1 2.688 0.0202 2.4404 0.0097 18 neutral Ov1 1344 001m24ee o 1 m 24 ee 3
106 1 2 0.0115 0.0067 0.3229 0.264 2.4342 0 NA 0 2.5185 0.0554 27 fear Ov2 1344 001m24ee o 1 m 24 ee 4
107 0 NA 0 0 0.0022 0.0367 2.4557 0 NA 0 2.4924 4e-4 28 surprise Ov2 1344 001m24ee o 1 m 24 ee 4
108 0 NA 0 0.0019 0.0901 0.1432 2.456 1 3.063 0.0325 2.4628 0.0111 22 anger Ov2 1344 001m24ee o 1 m 24 ee 4
109 1 3.063 0.0226 0.0031 0.1509 0.1225 2.4597 1 2 0.0374 2.4975 0.0173 24 sad Ov2 1344 001m24ee o 1 m 24 ee 4
110 1 3.187 0.052 0.0068 0.325 0.2835 2.5195 1 2.75 0.0305 2.6016 0.0243 23 happy Ov2 1344 001m24ee o 1 m 24 ee 4
111 0 NA 0 0 0 0.0466 2.5348 0 NA 0 2.5706 7e-4 25 neutral Ov2 1344 001m24ee o 1 m 24 ee 4
112 1 1 0.0112 0.0022 0.1047 0.1203 2.5255 0 NA 0 2.5642 0.012 26 disgust Ov2 1344 001m24ee o 1 m 24 ee 4
113 1 3.937 0.0158 2e-4 0.0119 0.2479 2.5098 1 3.687 0.0171 2.5149 0.0033 20 fear Ov1 1344 001m24ee o 1 m 24 ee 5
114 1 3.062 0.0205 0.0068 0.3267 0.5217 2.5037 1 2.75 0.2902 2.5294 0.0257 21 surprise Ov1 1344 001m24ee o 1 m 24 ee 5
115 1 2.813 0.0142 0.006 0.2879 0.3066 2.558 0 NA 0 2.8024 0.0202 15 anger Ov1 1344 001m24ee o 1 m 24 ee 5
116 1 1 0.0195 0.0046 0.2213 0.6745 2.6179 0 NA 0 2.6721 0.0126 16 happy Ov1 1344 001m24ee o 1 m 24 ee 5
117 0 NA 0 3e-4 0.0134 0.0536 2.6495 0 NA 0 2.6698 8e-4 18 neutral Ov1 1344 001m24ee o 1 m 24 ee 5
118 0 NA 0 0 0.0021 0.0222 2.6508 0 NA 0 2.6587 2e-4 17 sad Ov1 1344 001m24ee o 1 m 24 ee 5
119 1 2.188 0.0174 0.0041 0.198 0.1288 2.6499 1 1.625 0.0335 2.659 0.0293 19 disgust Ov1 1344 001m24ee o 1 m 24 ee 5
120 0 NA 0 0.001 0.048 0.081 2.6541 0 NA 0 2.6822 0.0069 22 anger Ov2 1344 001m24ee o 1 m 24 ee 1
121 1 3.25 0.0297 0.0035 0.1662 0.1654 2.6571 1 2.25 0.0304 2.6652 0.021 27 fear Ov2 1344 001m24ee o 1 m 24 ee 1
122 1 2.063 0.0606 0.008 0.3821 0.2505 2.6623 1 1 0.0584 2.6999 0.0552 24 sad Ov2 1344 001m24ee o 1 m 24 ee 1
123 1 2.375 0.0172 0.0027 0.1293 0.3752 2.6731 1 2.062 0.0128 2.7056 0.0153 26 disgust Ov2 1344 001m24ee o 1 m 24 ee 1
124 1 1.875 0.0122 0.002 0.0983 0.1536 2.6721 0 NA 0 2.692 0.0036 25 neutral Ov2 1344 001m24ee o 1 m 24 ee 1
125 0 NA 0 4e-4 0.0172 0.2123 2.6669 0 NA 0 2.6735 0.0068 28 surprise Ov2 1344 001m24ee o 1 m 24 ee 1
126 1 1.75 0.0118 0.0031 0.1497 0.1178 2.6618 1 1.438 0.0184 2.6713 0.0177 23 happy Ov2 1344 001m24ee o 1 m 24 ee 1
127 0 NA 0 0 0 0.0128 2.6536 0 NA 0 2.6597 0 18 neutral Ov1 1344 001m24ee o 1 m 24 ee 2
128 0 NA 0 1e-4 0.0063 0.0839 2.6408 0 NA 0 2.6429 0.0027 16 happy Ov1 1344 001m24ee o 1 m 24 ee 2
129 0 NA 0 5e-4 0.0262 0.0725 2.6263 0 NA 0 2.6346 0.0022 20 fear Ov1 1344 001m24ee o 1 m 24 ee 2
130 2 2.812 0.2005 0.0204 0.9804 0.8895 2.6233 1 1.875 0.203 2.6659 0.1393 21 surprise Ov1 1344 001m24ee o 1 m 24 ee 2
131 0 NA 0 0 0 0.0338 2.6479 0 NA 0 2.7898 0 15 anger Ov1 1344 001m24ee o 1 m 24 ee 2
132 1 3.813 0.0576 0.0059 0.2828 0.6686 2.6594 1 3.563 0.1743 2.6734 0.0203 19 disgust Ov1 1344 001m24ee o 1 m 24 ee 2
133 0 NA 0 0.001 0.0493 0.0431 2.6633 0 NA 0 2.7931 0 17 sad Ov1 1344 001m24ee o 1 m 24 ee 2
134 0 NA 0 9e-4 0.0455 0.0294 2.6657 0 NA 0 2.7001 1e-4 22 anger Ov2 1344 001m24ee o 1 m 24 ee 3
135 0 NA 0 0 0 0.1205 2.651 0 NA 0 2.6609 0.0017 23 happy Ov2 1344 001m24ee o 1 m 24 ee 3
136 1 3.375 0.0329 0.0041 0.196 0.1757 2.6266 1 2.5 0.0289 2.637 0.0174 24 sad Ov2 1344 001m24ee o 1 m 24 ee 3
137 3 1.125 0.0705 0.0091 0.4345 0.43120000000000003 2.6119 1 1.062 0.0503 2.6481 0.0495 26 disgust Ov2 1344 001m24ee o 1 m 24 ee 3
138 0 NA 0 0.0011 0.0542 0.1005 2.6126 0 NA 0 2.6464 8e-4 27 fear Ov2 1344 001m24ee o 1 m 24 ee 3
139 0 NA 0 8e-4 0.0362 0.0956 2.6207 0 NA 0 2.726 0.0059 28 surprise Ov2 1344 001m24ee o 1 m 24 ee 3
140 0 NA 0 4e-4 0.0178 0.0238 2.6303 0 NA 0 2.662 1e-4 25 neutral Ov2 1344 001m24ee o 1 m 24 ee 3
141 0 NA 0 0 0 0.0207 2.6298 0 NA 0 2.6372 2e-4 15 anger Ov1 1344 001m24ee o 1 m 24 ee 4
142 0 NA 0 3e-4 0.0138 0.0354 2.6217 0 NA 0 2.627 3e-4 17 sad Ov1 1344 001m24ee o 1 m 24 ee 4
143 1 1.875 0.027 0.0091 0.4377 0.4468 2.6123 0 NA 0 2.751 0.0838 20 fear Ov1 1344 001m24ee o 1 m 24 ee 4
144 2 2.687 0.1323 0.0161 0.7722 0.5546 2.6172 1 1.75 0.1121 2.6898 0.0993 18 neutral Ov1 1344 001m24ee o 1 m 24 ee 4
145 0 NA 0 0 0.0023 0.2141 2.6391 0 NA 0 2.7034 0.0026 16 happy Ov1 1344 001m24ee o 1 m 24 ee 4
146 0 NA 0 0 0 0.1655 2.6593 1 3.312 0.0193 2.6719 0.0041 21 surprise Ov1 1344 001m24ee o 1 m 24 ee 4
